id,vcm,gamma_T,ocean_file,sia_e,ssa_n,pseudo_plastic_q,till_effective_fraction_overburden,phi_min,phi_max,z_min,z_max
0,0.7113801287016013,0.00012027438908693428,MAR3.9_ACCESS1-3_rcp85_ocean_1960-2100_v4.nc,2.4952245,3.3134153,0.7496603,0.025623571,6.148703,42.714653,-210.8527,232.19963
1,0.4258186002726448,0.00010992247035065648,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,2.6458838,3.3264768,0.7193209,0.016899632,7.563726,43.034927,-412.26053,96.75021
2,0.2878796278760349,0.00012861793922209173,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,2.2732644,3.3172593,0.6472357,0.018380659,6.6817083,44.205025,-329.59073,181.1872
3,0.3433103716307083,0.00011181212685215747,MAR3.9_CSIRO-Mk3.6_rcp85_ocean_1960-2100_v4.nc,2.9177444,3.3260074,0.59552705,0.021716613,6.943566,40.38849,-495.39236,285.51587
4,0.3496886821576173,0.00011763572211339457,MAR3.9_ACCESS1-3_rcp85_ocean_1960-2100_v4.nc,2.9622898,3.338513,0.75022244,0.026637029,7.0195994,44.338737,-288.2361,464.88522
5,0.39156485321951096,0.0001357780566400998,MAR3.9_HadGEM2-ES_rcp85_ocean_1960-2100_v4.nc,2.5546658,3.3298998,0.58832777,0.01967902,5.9935966,41.72157,-605.58026,430.21146
6,0.9209755081493545,0.00013703280837708387,MAR3.9_CNRM-CM6_ssp126_ocean_1960-2100_v4.nc,3.0655642,3.3568828,0.8707806,0.01683216,9.554149,44.037804,-270.83817,179.55095
7,0.9538609231132742,0.0001235928175825639,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,2.7135177,3.3733268,0.74876773,0.01914129,5.3643656,41.994137,-528.27716,313.17505
8,0.8555082095475188,0.00011960084196981622,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,2.8136609,3.3084211,0.7670852,0.01478708,10.715898,43.173985,-268.6586,108.61489
9,0.8135890938289689,0.00011444944361858025,MAR3.9_IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc,2.0005033,3.2969549,0.7855486,0.017337706,6.740146,43.688522,-313.12003,285.99786
10,0.3192864993106135,0.00010239298285530271,MAR3.9_MIROC-ESM-CHEM_rcp26_ocean_1960-2100_v4.nc,2.3104298,3.3710592,0.8458383,0.016093146,7.1983585,41.46503,-404.42792,86.80542
11,0.9499432486985704,0.00010004755253884187,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,2.103735,3.3500617,0.8250617,0.016863214,6.661172,41.67647,-439.21747,250.1206
12,0.41097701243348095,0.00012271961622713155,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,2.2540095,3.30828,0.80917424,0.0140047185,7.221785,41.90881,-448.93762,233.76428
13,0.3929195676501113,0.00013618427761000163,MAR3.9_CSIRO-Mk3.6_rcp85_ocean_1960-2100_v4.nc,2.158975,3.271441,0.75149286,0.017630158,6.4361997,40.678978,-403.92383,213.52899
14,0.5198106273702569,0.00014876028221791536,MAR3.9_IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc,2.6378791,3.272415,0.817721,0.020922095,7.2532773,44.651608,-320.95532,126.8327
15,0.8728684268402418,0.0001472279628126409,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,2.2153726,3.343576,0.8519135,0.01758708,8.6247015,44.44661,-276.18164,120.19211
16,0.5281740317490256,0.00013859707981756818,MAR3.9_CNRM-CM6_ssp126_ocean_1960-2100_v4.nc,3.024773,3.3205357,0.7068607,0.020850087,5.698723,43.4918,-358.7242,311.09723
17,0.2726928988438118,0.00013973843216249935,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,2.6280613,3.2684824,0.6118155,0.0128565505,8.94723,44.70115,-348.44717,98.060104
18,0.668598909877022,0.00010522530404514917,MAR3.9_NorESM1-M_rcp85_ocean_1960-2100_v4.nc,2.7494915,3.36417,0.75015604,0.020048903,5.5673122,43.313587,-452.59326,165.06584
19,0.6516915137574444,0.000108669151196076,MAR3.9_MIROC-ESM-CHEM_rcp26_ocean_1960-2100_v4.nc,2.1981227,3.2946324,0.7519019,0.02029898,6.015017,42.10933,-399.2635,393.50974
20,0.4466380537915251,0.00012126204211077474,MAR3.9_IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc,2.2994723,3.1963067,0.9068228,0.019887362,6.051306,43.264988,-253.36371,286.28012
21,0.7820317543873827,0.00011536820026215573,MAR3.9_UKESM1-CM6_ssp585_ocean_1960-2100_v4.nc,2.3379812,3.2880096,0.7947819,0.019165818,8.073233,40.238056,-249.1143,230.01189
22,0.21297145458109668,0.00012740965101481545,MAR3.9_UKESM1-CM6_ssp585_ocean_1960-2100_v4.nc,2.7191796,3.3284588,0.68333167,0.019265242,5.2773976,44.62888,-516.3011,123.994545
23,0.573223891543821,0.0001049622979221963,MAR3.9_HadGEM2-ES_rcp85_ocean_1960-2100_v4.nc,2.8985145,3.2999918,0.7315107,0.017142102,7.2943044,42.620296,-417.10178,71.208244
24,0.8628160736193389,0.00014901369924587938,MAR3.9_HadGEM2-ES_rcp85_ocean_1960-2100_v4.nc,2.8898776,3.2903903,0.5826136,0.018215189,11.963894,44.640392,-470.8141,436.47623
25,0.4582188848777407,0.00010302430323955268,MAR3.9_NorESM1-M_rcp85_ocean_1960-2100_v4.nc,2.567961,3.323372,0.84263104,0.018801007,13.195946,41.27823,-227.55132,88.735085
26,0.726268926447738,0.00013389177125954307,MAR3.9_CNRM-CM6_ssp126_ocean_1960-2100_v4.nc,2.739268,3.3325703,0.7784238,0.016037637,5.9154572,43.119663,-475.86505,108.77714
27,0.8338321960552426,0.00014436236638108572,MAR3.9_ACCESS1-3_rcp85_ocean_1960-2100_v4.nc,3.1990423,3.377407,0.6784531,0.02406234,5.815285,42.20788,-495.57123,260.1625
28,0.4856743651309862,0.00012415244687763569,MAR3.9_UKESM1-CM6_ssp585_ocean_1960-2100_v4.nc,2.5147133,3.3530133,0.87818235,0.022541333,6.0037513,40.37727,-327.87878,76.40812
29,0.5481441054227114,0.00010680397256576568,MAR3.9_CNRM-CM6_ssp126_ocean_1960-2100_v4.nc,2.8178582,3.3596327,0.87759393,0.02162508,8.175992,40.73408,-231.90253,102.38675
30,0.6405570520679819,0.00013458896882695062,MAR3.9_CSIRO-Mk3.6_rcp85_ocean_1960-2100_v4.nc,2.3161452,3.2941809,0.81129885,0.02290622,7.7227626,42.907734,-326.4571,597.4809
31,0.6904360998302732,0.00013028517687931824,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,2.4062312,3.29918,0.61004686,0.018293068,6.1257515,41.500004,-452.68683,316.11935
32,0.25796701851131554,0.00013199096111617936,MAR3.9_NorESM1-M_rcp85_ocean_1960-2100_v4.nc,2.4907148,3.2976499,0.9083056,0.019780232,8.805261,44.071903,-195.04846,172.39389
33,0.36540969239411664,0.0001461871688409821,MAR3.9_HadGEM2-ES_rcp85_ocean_1960-2100_v4.nc,3.0067751,3.403436,0.71632504,0.01969508,6.1502414,44.680313,-468.02246,314.23175
34,0.7402563187571625,0.0001453438486311913,MAR3.9_HadGEM2-ES_rcp85_ocean_1960-2100_v4.nc,2.2464283,3.3238895,0.64202005,0.01566036,8.174185,43.72854,-478.09384,281.53427
35,0.8960910251491507,0.00011683212476635759,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,2.5125089,3.2669597,0.8033744,0.020669311,6.126014,41.053448,-316.83932,149.28944
