id,vcm,thickness_calving_threshold,sia_e,ssa_n,pseudo_plastic_q,till_effective_fraction_overburden,phi_min,phi_max,z_min,z_max
0,0.4292192148623718,117.60935105635953,2.6743028,3.282998,0.6067097,0.02145577,9.420143,42.04958,-293.3016,229.76884
1,0.5047747065589547,319.3782933109866,2.3711333,3.2641327,0.71616215,0.016995598,6.0672846,44.186886,-491.77255,429.2855
2,0.613638701961227,101.08621149482457,2.5827293,3.328525,0.7175646,0.018618131,7.9401383,40.872726,-385.39017,121.74011
3,0.2573439383003889,264.9800340654814,2.2053642,3.3346958,0.82120335,0.014228608,11.176114,42.49874,-310.6776,156.60347
4,0.6739938058441346,369.38280559667027,2.6450396,3.3125858,0.6171479,0.014871737,9.219659,43.091625,-450.2368,96.83035
5,0.40560333651808644,293.3089757170614,2.4758635,3.2554727,0.79431975,0.01929232,7.973269,42.85445,-355.23926,451.08887
6,0.5553842786093838,165.5254091198172,2.4734755,3.3672075,0.8108145,0.018072506,6.7247458,42.992992,-380.58218,131.68373
7,0.7360601947514682,185.64832942789798,2.7080455,3.2752237,0.6212042,0.016938094,7.9286304,43.64873,-543.4485,432.7856
8,0.4957593712097965,197.9454692602504,2.557489,3.30311,0.8004034,0.015704034,8.276176,43.54096,-242.95053,99.17306
9,0.36814439566921153,286.91758343171165,1.9100747,3.3278039,0.89040214,0.015716078,5.6767225,42.49594,-349.25763,276.97934
10,0.46932265660363953,214.03441610946845,2.48198,3.2636533,0.7663353,0.018251797,8.034789,43.096863,-313.0997,281.71643
11,0.6216750195981783,234.2023851772666,2.564592,3.26073,0.7667244,0.021310722,5.9530396,44.304672,-342.43073,236.7172
12,0.6489945129469303,398.9641212682686,2.5066988,3.233098,0.5888299,0.02132494,6.4520993,41.26605,-336.96597,211.94022
13,0.32919809132034017,147.62817675386304,2.928475,3.345809,0.7930692,0.019133762,5.91284,43.544125,-371.3466,132.99702
14,0.3613268097878931,225.18216519612523,3.0513875,3.294872,0.62110233,0.02312314,5.8294597,43.066418,-344.5552,224.0689
15,0.2709386026691672,123.55760914898458,2.2617698,3.253991,0.7885411,0.02436619,5.2093344,40.599606,-389.14346,496.60687
16,0.6663524254058015,176.46108523037978,2.8900461,3.34945,0.806879,0.01601136,6.5907936,43.9318,-527.8192,385.2737
17,0.5730542086549633,378.85137054276214,2.8017724,3.2934446,0.6359496,0.024305422,7.9753275,43.119625,-489.1374,765.66614
18,0.6886452086301553,321.8872744774069,2.767777,3.3088615,0.74112225,0.016701037,7.549521,43.262356,-348.77368,352.00464
19,0.545596036843279,273.25716054143646,2.5222688,3.332476,0.74353963,0.014026594,8.105661,44.666218,-491.7342,95.67903
20,0.29057358367340613,355.78876554585827,3.0425906,3.3004396,0.713637,0.02305766,7.8428316,43.25392,-291.33093,322.9101
21,0.4469266490479082,257.4020979217278,2.4726167,3.2839527,0.6612185,0.018561218,7.8830986,44.28927,-359.79965,223.38889
22,0.4585787937318839,335.52142084355836,2.620064,3.357361,0.6830261,0.0125764385,6.9400325,43.699978,-541.35394,155.54968
23,0.5920041206705566,389.163216788216,2.8595428,3.2670152,0.6292149,0.016417257,9.67366,41.15461,-473.10074,203.94011
24,0.3334737233327941,247.3896236210309,2.7096334,3.3291566,0.8027746,0.016447144,9.901679,43.446766,-267.40186,121.244
25,0.528095209077893,303.16542784503105,2.4983234,3.277174,0.6165467,0.017646106,12.1924095,42.74384,-183.06711,188.81128
26,0.7134547928734969,343.5685088246332,2.9664001,3.3170972,0.8614004,0.021659443,8.098338,40.74223,-471.75763,324.05618
27,0.30152329030045516,153.73090558657728,2.7101035,3.317097,0.7099832,0.018523045,8.404855,42.44719,-393.36572,347.60388
28,0.38937181869772297,137.2168303732943,2.4453049,3.3672366,0.72010094,0.021704452,7.9640284,42.319683,-426.78845,667.84143
29,0.7246341663260394,206.21682888063728,2.762338,3.2743459,0.8081334,0.0124528045,8.791703,43.517498,-408.2451,53.674793
