id,vcm,gamma_T,ocean_file,climate,hydrology,frontal_melt,climate_file,runoff_file,salinity,pseudo_plastic_q,sia_e,ssa_n,fractures,sliding_law,z_min,z_max,phi_min,phi_max,till_effective_fraction_overburden,thickness_calving_threshold
0,0.5400559358894479,0.0001304349338788475,MAR3.9_MIROC-ESM-CHEM_rcp26_ocean_1960-2100_v4.nc,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,0.6,1.25,3.0,false,pseudo_plastic,-700,700,5,40,0.02,50
1,0.3223446369309215,0.00014203484293841772,MAR3.9_MIROC-ESM-CHEM_rcp26_ocean_1960-2100_v4.nc,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,0.6,1.25,3.0,false,pseudo_plastic,-700,700,5,40,0.02,50
2,0.48875966409561755,0.00010158616533724304,MAR3.9_ACCESS1-3_rcp85_ocean_1960-2100_v4.nc,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,0.6,1.25,3.0,false,pseudo_plastic,-700,700,5,40,0.02,50
3,0.2079092456507164,0.00014443203616090874,MAR3.9_CSIRO-Mk3.6_rcp85_ocean_1960-2100_v4.nc,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,0.6,1.25,3.0,false,pseudo_plastic,-700,700,5,40,0.02,50
4,0.9659727933509588,0.0001073480006346991,MAR3.9_IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,0.6,1.25,3.0,false,pseudo_plastic,-700,700,5,40,0.02,50
5,0.38335664036550976,0.00010449131615099182,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,0.6,1.25,3.0,false,pseudo_plastic,-700,700,5,40,0.02,50
6,0.7993148776313725,0.00013958455544062605,MAR3.9_UKESM1-CM6_ssp585_ocean_1960-2100_v4.nc,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,0.6,1.25,3.0,false,pseudo_plastic,-700,700,5,40,0.02,50
7,0.4344355603357759,0.00012648294827485062,MAR3.9_ACCESS1-3_rcp85_ocean_1960-2100_v4.nc,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,0.6,1.25,3.0,false,pseudo_plastic,-700,700,5,40,0.02,50
8,0.5853956533335832,0.0001161940697596784,MAR3.9_HadGEM2-ES_rcp85_ocean_1960-2100_v4.nc,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,0.6,1.25,3.0,false,pseudo_plastic,-700,700,5,40,0.02,50
9,0.7264810101169954,0.0001369352688183832,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,0.6,1.25,3.0,false,pseudo_plastic,-700,700,5,40,0.02,50
