id,vcm,gamma_T,ocean_file
0,0.7661386674025203,0.0001078117441454653,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc
1,0.9098973980396237,0.0001456461575200785,MAR3.9_MIROC-ESM-CHEM_rcp26_ocean_1960-2100_v4.nc
2,0.3232996140273441,0.00010177394839811829,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc
3,0.8671039114150962,0.00010531779652978655,MAR3.9_NorESM1-M_rcp85_ocean_1960-2100_v4.nc
4,0.503167606798119,0.00012376679215895037,MAR3.9_HadGEM2-ES_rcp85_ocean_1960-2100_v4.nc
5,0.8124627801741633,0.00014805153697230954,MAR3.9_UKESM1-CM6_ssp585_ocean_1960-2100_v4.nc
6,0.26631083975695236,0.00013309663137449823,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc
7,0.6550245721676305,0.0001411555417145763,MAR3.9_ACCESS1-3_rcp85_ocean_1960-2100_v4.nc
8,0.6028847571886364,0.00011931965763259808,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc
9,0.4752097049064242,0.00012956834821297545,MAR3.9_IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc
10,0.37462035863945453,0.0001385469307454578,MAR3.9_IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc
11,0.5531058751671392,0.00013443058841179834,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc
12,0.4328904872316498,0.00011032794774104614,MAR3.9_CNRM-CM6_ssp126_ocean_1960-2100_v4.nc
13,0.9749696423307902,0.00012023888517246755,MAR3.9_NorESM1-M_rcp85_ocean_1960-2100_v4.nc
14,0.7150639129503591,0.00011632186003201955,MAR3.9_HadGEM2-ES_rcp85_ocean_1960-2100_v4.nc
