id,vcm,thickness_calving_threshold,calving_rate_scaling_file
0,0.8630626184800334,252.8365972946166,seasonal_calving_1_1980_2020.nc
1,0.6074604719694411,170.29733409824325,seasonal_calving_1_1980_2020.nc
2,0.9822504065612274,269.1006314610668,seasonal_calving_0_1980_2020.nc
3,0.8293764497520062,155.0898079435578,seasonal_calving_0_1980_2020.nc
4,0.9504262724501821,239.15553718218047,seasonal_calving_0_1980_2020.nc
5,0.9180427655001229,135.0758555439817,seasonal_calving_1_1980_2020.nc
6,0.6749307677975565,104.69419610385512,seasonal_calving_1_1980_2020.nc
7,0.770349385858464,287.16176780154774,seasonal_calving_0_1980_2020.nc
8,0.707782858361077,216.11233172019945,seasonal_calving_1_1980_2020.nc
9,0.7236266088190917,194.22903270663784,seasonal_calving_0_1980_2020.nc
