id,vcm,gamma_T,ocean_file,sia_e,ssa_n,pseudo_plastic_q,till_effective_fraction_overburden,phi_min,phi_max,z_min,z_max,climate,hydrology,frontal_melt,climate_file,runoff_file,salinity,fractures,sliding_law,thickness_calving_threshold
0,0.8412478089673059,0.00012550559331170138,MAR3.9_ACCESS1-3_rcp85_ocean_1960-2100_v4.nc,2.0760264,3.264593,0.78193575,0.0157485,5.4907184,42.366238,-418.71848,221.90768,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic,50
1,0.7368870842882367,0.0001016484388017734,MAR3.9_UKESM1-CM6_ssp585_ocean_1960-2100_v4.nc,3.418568,3.385963,0.75588906,0.024609113,6.1050296,41.446033,-408.3569,327.43073,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic,50
2,0.9252091908062992,0.00011421845227314956,MAR3.9_MIROC-ESM-CHEM_rcp26_ocean_1960-2100_v4.nc,2.438728,3.351898,0.7119169,0.02158495,6.045252,41.588642,-562.30585,299.25528,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic,50
3,0.3848937661989603,0.00013478228326840912,MAR3.9_IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc,2.718293,3.2777185,0.6772548,0.014236277,10.568192,44.7715,-334.8985,226.04102,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic,50
4,0.8926269382436454,0.00012799462600123594,MAR3.9_IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc,3.2706373,3.3690915,0.6804187,0.022538146,6.894083,42.318775,-509.84927,495.28873,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic,50
5,0.47165562734823274,0.0001081462960527021,MAR3.9_NorESM1-M_rcp85_ocean_1960-2100_v4.nc,2.220717,3.302412,0.86193734,0.018811734,6.978964,41.598774,-276.48083,228.90987,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic,50
6,0.9130904795027084,0.00013090743767043677,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,2.320776,3.3029718,0.6558337,0.018815586,7.1427135,42.707752,-389.99222,216.83699,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic,50
7,0.5598903797802477,0.00011120318732270199,MAR3.9_MIROC-ESM-CHEM_rcp26_ocean_1960-2100_v4.nc,2.9872303,3.2351837,0.59374374,0.023004267,6.114673,44.66116,-263.5196,97.30986,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic,50
8,0.7997527636511501,0.00011061995916956672,MAR3.9_ACCESS1-3_rcp85_ocean_1960-2100_v4.nc,2.0951843,3.3206012,0.77321804,0.021213682,6.574817,41.326393,-385.08112,464.85834,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic,50
9,0.962662155313367,0.00011260997768576554,MAR3.9_CNRM-CM6_ssp126_ocean_1960-2100_v4.nc,2.4723854,3.2892272,0.6358402,0.014447376,8.082945,42.7527,-353.0618,176.81949,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic,50
