id,vcm,gamma_T,thickness_calving_threshold,ocean_file,sia_e,ssa_n,pseudo_plastic_q,till_effective_fraction_overburden,phi_min,phi_max,z_min,z_max,climate,hydrology,frontal_melt,climate_file,runoff_file,salinity,fractures,sliding_law
0,0.9446838737037642,0.00010669055253106441,192.68216947386568,IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc,3.006208,3.319014,0.81600624,0.015409099,8.194575,44.785553,-383.61847,105.49096,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic
1,0.31967023703794056,0.00010852482855048756,146.21265702321617,CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,2.7414727,3.3606684,0.77641016,0.019344108,7.4892354,40.8774,-375.38828,246.19049,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic
2,0.4984724459456575,0.0001386809529397672,375.49716210184675,CNRM-CM6_ssp126_ocean_1960-2100_v4.nc,2.4455035,3.3038445,0.722192,0.015435239,7.3587446,42.824635,-394.34018,135.72075,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic
3,0.5410637967679658,0.00012626343545153013,264.5124942871432,HadGEM2-ES_rcp85_ocean_1960-2100_v4.nc,2.5419345,3.2995055,0.7711238,0.015831562,9.282908,43.02368,-367.20102,183.93869,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic
4,0.33693430463136725,0.00013709864020845975,386.80854208349035,CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,2.8700087,3.306825,0.6131352,0.02372575,5.950291,41.735012,-328.0579,239.24072,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic
5,0.6096275947913292,0.0001312140280928748,158.2961210008346,MIROC-ESM-CHEM_rcp26_ocean_1960-2100_v4.nc,1.972206,3.3012075,0.80741644,0.015038931,7.109956,41.319126,-426.73965,364.08316,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic
6,0.6490198834343615,0.00012012107085223503,292.000995096928,CSIRO-Mk3.6_rcp85_ocean_1960-2100_v4.nc,2.3812191,3.2452018,0.7165299,0.023663862,7.4380236,44.717163,-233.40324,338.5068,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic
7,0.7019448037095694,0.00010986890802773971,183.29416158890473,ACCESS1-3_rcp85_ocean_1960-2100_v4.nc,2.9967096,3.3204823,0.7469819,0.0162462,7.0389028,44.49149,-326.99515,39.25388,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic
8,0.4378590716324064,0.00010925180490206346,257.09606975084955,MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,3.002475,3.373638,0.8489973,0.023460042,7.4292493,43.477516,-223.72905,316.27267,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic
9,0.8190947190989615,0.00010609949480532539,391.96154868192826,CSIRO-Mk3.6_rcp85_ocean_1960-2100_v4.nc,2.7213252,3.2396812,0.87040246,0.01787504,6.615053,44.556892,-253.69017,248.93938,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic
10,0.7483961182262878,0.00012201006412620105,356.4716545289783,CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,2.5090535,3.2917955,0.7966307,0.018650308,5.0286236,41.54022,-473.56406,273.50018,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic
11,0.4534484652844565,0.00014950719656971266,315.2080441459027,IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc,2.845762,3.3367968,0.76626027,0.026051177,5.1742034,43.309223,-499.75153,644.39233,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic
12,0.973068153118943,0.0001267375832921909,148.8229817623781,CSIRO-Mk3.6_rcp85_ocean_1960-2100_v4.nc,2.6479073,3.277509,0.6122549,0.019553952,7.487899,43.26716,-309.13608,182.08752,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic
13,0.7159472560483782,0.00014942317590727693,119.79862320856036,CNRM-CM6_ssp126_ocean_1960-2100_v4.nc,2.580964,3.2845569,0.65687555,0.016438399,7.1035113,43.352974,-599.1464,310.98093,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic
14,0.8442314965986799,0.00012525733596685014,160.06673466863023,ACCESS1-3_rcp85_ocean_1960-2100_v4.nc,2.898502,3.330029,0.6949726,0.024151482,5.3599763,44.151253,-399.98108,463.7553,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic
15,0.8881247362528073,0.00011604310470154148,338.1678550571329,ACCESS1-3_rcp85_ocean_1960-2100_v4.nc,2.9115229,3.3449445,0.7274074,0.022982782,6.484142,40.540302,-421.39545,361.689,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic
16,0.868543817563671,0.00013964882710419015,378.88508903908024,CSIRO-Mk3.6_rcp85_ocean_1960-2100_v4.nc,2.620775,3.343073,0.7683586,0.01767583,5.573606,40.19351,-479.5935,67.50555,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic
17,0.2947162662699442,0.0001019238750851542,229.377688328398,IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc,2.5064137,3.2955492,0.77844626,0.018454185,8.56813,42.40748,-467.08554,386.1265,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic
18,0.6300201726741665,0.00014202898661828996,137.2007987544099,MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,3.1313765,3.2918966,0.6741885,0.017010534,5.962751,42.76239,-500.16537,26.19496,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic
19,0.43273292411412034,0.00011865304741867718,283.580165222294,NorESM1-M_rcp85_ocean_1960-2100_v4.nc,2.629766,3.257385,0.6218186,0.01879978,6.4879103,41.369225,-439.12656,314.70932,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic
20,0.8036951375191081,0.00014547678175461155,139.49355023237834,ACCESS1-3_rcp85_ocean_1960-2100_v4.nc,2.1563907,3.2647545,0.7640063,0.019559938,8.054194,42.22674,-356.8586,599.1585,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic
21,0.9594232872697854,0.00014154309905438473,343.28276415703505,MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,2.878743,3.3234563,0.75851214,0.023906386,7.4792423,43.870735,-215.46568,294.02487,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic
22,0.8550517727416763,0.00012735712934471317,326.8551076066974,CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,2.6880705,3.242328,0.72396475,0.018086977,8.234704,43.142643,-432.27026,289.7258,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic
23,0.8245364098224708,0.0001351498431939169,165.2141019610315,CSIRO-Mk3.6_rcp85_ocean_1960-2100_v4.nc,2.2909162,3.3135114,0.79311335,0.022594884,6.7380066,40.207104,-363.48605,222.26486,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic
24,0.35307368929209326,0.00010743698214374298,324.2196348748391,NorESM1-M_rcp85_ocean_1960-2100_v4.nc,2.6383443,3.3036633,0.6863447,0.024568101,8.773758,40.894085,-247.96004,320.90167,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic
25,0.6691828126602882,0.0001033900386738202,363.8275650151176,IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc,2.6046734,3.3710923,0.7677727,0.016873151,8.032624,43.873093,-426.69385,390.29877,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic
26,0.32590958591069874,0.00010494826037039343,397.52979087552154,ACCESS1-3_rcp85_ocean_1960-2100_v4.nc,2.8265827,3.3395505,0.7784303,0.020658862,6.546859,42.067387,-373.57474,164.96944,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic
27,0.3884122462572812,0.00010790905465143312,395.8526352532558,IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc,2.4346757,3.3382833,0.5347584,0.01915082,7.1699395,42.06322,-680.62256,369.2506,surface_given,routing,discharge_routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,34,false,pseudo_plastic
