id,f_ice,f_snow,std_dev,refreeze,vcm,calving.eigen_calving.K,sia_n,sia_e,ssa_n,pseudo_plastic_q,till_effective_fraction_overburden,phi_min,phi_max,z_min,z_max,pseudo_plastic_uthreshold,sliding_law,climate,pr_paleo_file,tas_paleo_file,calving.thickness_calving.threshold,atmosphere.elevation_change.temperature_lapse_rate
0,10.638558766159406,2.2628851279374915,3.934826820736201,0.48527922579383365,0.5509006831589202,3.2681987039062216e+18,3.331233992116564,1.6827394,3.335194,0.7110643,0.0161498,5.530936,43.37355,-485.10226,278.62393,100,pseudo_plastic,paleo_searise,pism_dT.nc,pism_dT.nc,100,6
1,6.684851709070024,4.697854200684214,4.252762739186835,0.5816493975214586,0.6876690209286035,9.270606238503897e+18,3.7301240155663216,2.879148,3.3160536,0.794425,0.018482905,7.194482,41.81157,-330.41904,200.75555,100,pseudo_plastic,paleo_searise,pism_dT.nc,pism_dT.nc,100,6
2,7.478972887360961,2.7538416769540643,3.0289735636733477,0.4633631960599013,0.49450908181814635,7.114258652789347e+18,3.822162015920497,3.3637443,3.364384,0.8075699,0.021095283,7.268889,41.2788,-284.62296,89.637344,100,pseudo_plastic,paleo_searise,pism_dT.nc,pism_dT.nc,100,6
3,9.112172572297444,4.895423226965879,6.644577459140404,0.4339959489446986,0.4451933595780459,6.447916359352586e+18,3.312650393453165,2.9155138,3.3019123,0.7553652,0.016170375,8.643492,44.818333,-348.9966,326.72067,100,pseudo_plastic,paleo_searise,pism_dT.nc,pism_dT.nc,100,6
4,9.715563107089768,3.829301502532714,4.346731814512719,0.4936215495110643,0.4110363791818158,2.1599494195871078e+18,3.291577530122886,1.9353744,3.2724152,0.6287859,0.018144624,10.750748,42.531727,-336.20624,324.17786,100,pseudo_plastic,paleo_searise,pism_dT.nc,pism_dT.nc,100,6
5,6.359350372529188,2.869016435388825,4.530598486952151,0.5921628649079373,0.7771368998397529,4.020823058051626e+18,3.401785216288251,2.696707,3.2632997,0.7696388,0.025766846,5.3021917,42.491932,-283.33344,357.9818,100,pseudo_plastic,paleo_searise,pism_dT.nc,pism_dT.nc,100,6
6,9.399178426450892,4.792032042449718,5.574057981631439,0.682025741453328,0.6787789893302454,3.077964858636678e+18,3.9558768117003043,2.7424963,3.306517,0.7941553,0.01787615,11.350939,43.248222,-266.10184,272.90842,100,pseudo_plastic,paleo_searise,pism_dT.nc,pism_dT.nc,100,6
7,7.379174612131221,3.36876081000029,3.413452349242169,0.6233481544832706,0.6953054762549,9.42163417129625e+18,3.0822463829557134,3.375122,3.351652,0.74644005,0.024155384,6.7802753,43.755272,-389.71484,472.73975,100,pseudo_plastic,paleo_searise,pism_dT.nc,pism_dT.nc,100,6
8,6.378566034613462,4.237740662374441,3.281772181901379,0.5190683862613429,0.730079670989458,6.146080372654078e+18,3.5724789751892088,2.5358377,3.3391051,0.6974593,0.017457405,6.536798,41.929626,-379.2938,271.73633,100,pseudo_plastic,paleo_searise,pism_dT.nc,pism_dT.nc,100,6
9,9.204577486642725,2.9431349077574196,6.133410863783952,0.641206159697528,0.4332618110522495,5.2833958558785e+18,3.8956376763796734,2.044037,3.2966511,0.61708784,0.01632681,8.852131,42.041718,-422.07086,290.18488,100,pseudo_plastic,paleo_searise,pism_dT.nc,pism_dT.nc,100,6
10,7.152724425729353,3.4743728435124983,6.3834544091160055,0.6968245947675051,0.480326187189049,4.238012274401692e+17,3.0266199141334753,2.9882402,3.315801,0.73958653,0.016732601,7.8490562,43.73233,-244.05835,99.96435,100,pseudo_plastic,paleo_searise,pism_dT.nc,pism_dT.nc,100,6
11,11.440421493108072,2.114669133249662,3.696819762151399,0.5638849429203777,0.7113906220827881,2.752970764273312e+18,3.16636018933353,2.1239424,3.2950592,0.83283544,0.017986853,5.5456185,41.75865,-463.70258,496.4003,100,pseudo_plastic,paleo_searise,pism_dT.nc,pism_dT.nc,100,6
12,8.775371592891734,4.555259942699374,6.042742759947977,0.5014853757454538,0.599376379995574,4.3737947900103117e+18,3.3536821659676535,2.7387877,3.3026502,0.7890585,0.01875606,7.8050933,42.814884,-322.31482,361.7652,100,pseudo_plastic,paleo_searise,pism_dT.nc,pism_dT.nc,100,6
13,10.482540706747546,3.598635765998937,3.9672701982334253,0.4766222219269622,0.645839313548018,5.021850448882406e+18,3.137522602652311,2.5027568,3.2683697,0.7068622,0.016420076,6.8338094,44.566284,-432.62842,486.91666,100,pseudo_plastic,paleo_searise,pism_dT.nc,pism_dT.nc,100,6
14,10.296928407776054,4.109996568069906,3.114256077996266,0.5296223526331221,0.5184610588194647,4.807981814695716e+18,3.5521812989742374,3.0449474,3.3367333,0.66301495,0.025547117,6.8565106,42.991512,-328.58008,445.30725,100,pseudo_plastic,paleo_searise,pism_dT.nc,pism_dT.nc,100,6
15,11.132397794299997,3.0718870496403494,6.269229485228852,0.42415913164593183,0.7465871253096457,1.2743265479957376e+18,3.2776061426416696,2.915739,3.2829118,0.67492425,0.023569595,6.38168,41.606133,-368.84552,357.4789,100,pseudo_plastic,paleo_searise,pism_dT.nc,pism_dT.nc,100,6
16,11.85374046591605,2.782797674919742,5.071690176455711,0.4815132523317627,0.632907044123502,2.8016057218585926e+17,3.451812547463385,2.3045816,3.2720137,0.5824384,0.016642882,6.366933,43.50309,-534.7046,230.24806,100,pseudo_plastic,paleo_searise,pism_dT.nc,pism_dT.nc,100,6
17,7.786220988585632,4.74435080219821,3.773400036973147,0.43760104881924405,0.6037894121880722,6.695908774062645e+18,3.9886821813762596,3.0136693,3.3412461,0.6147176,0.016231077,8.308058,44.284473,-444.43347,72.20814,100,pseudo_plastic,paleo_searise,pism_dT.nc,pism_dT.nc,100,6
18,7.034909358899017,2.3961591906283033,4.740339141346457,0.4706270472203352,0.5043295147670319,9.609506019944784e+18,3.017609021637046,2.7188823,3.3155274,0.75184774,0.025204783,6.1348867,42.025528,-303.5425,254.1263,100,pseudo_plastic,paleo_searise,pism_dT.nc,pism_dT.nc,100,6
19,8.46428339692816,3.192232332232963,3.613542519604698,0.5533703680681216,0.6701115980856233,1.5064685825540124e+18,3.8037954404534995,2.1085749,3.3497803,0.8282999,0.015424403,8.472086,42.494152,-332.30835,226.63033,100,pseudo_plastic,paleo_searise,pism_dT.nc,pism_dT.nc,100,6
20,11.019168829691,3.211790181218889,5.380296638682484,0.5997541602917474,0.5324508955312878,1.6872954678413354e+17,3.6202097699405194,2.9294915,3.4182403,0.8023215,0.02881248,10.446136,44.479523,-116.19258,339.88113,100,pseudo_plastic,paleo_searise,pism_dT.nc,pism_dT.nc,100,6
