id,vcm,sia_e,ssa_n,pseudo_plastic_q,till_effective_fraction_overburden,phi_min,phi_max,z_min,z_max,climate,hydrology,frontal_melt,ocean_file,climate_file,runoff_file,gamma_T,salinity,thickness_calving_threshold,fractures
0,0.418852161674936,2.9381309,3.3010159,0.7771878,0.025085753,8.096937,44.19509,-158.69551,277.97174,given,routing,discharge_routing,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,0.0001,34,100,false
1,0.30930094789713836,2.7852597,3.3014362,0.84858686,0.022013523,5.2179155,40.888817,-411.86737,231.47563,given,routing,discharge_routing,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,0.0001,34,100,false
2,0.46651915958816337,2.18469,3.3168948,0.7192542,0.016598606,7.1340814,44.01513,-442.64127,349.53058,given,routing,discharge_routing,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,0.0001,34,100,false
3,0.4542852194350072,2.6897585,3.4037611,0.92070156,0.019903865,5.049216,42.897034,-463.9865,159.60468,given,routing,discharge_routing,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,0.0001,34,100,false
4,0.34670934317091906,3.058133,3.3503087,0.7408296,0.024137395,9.030116,42.06903,-285.05246,402.6758,given,routing,discharge_routing,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,0.0001,34,100,false
5,0.3229540927706054,3.0090249,3.2878733,0.61167413,0.024957296,7.869419,42.431557,-284.78473,206.52452,given,routing,discharge_routing,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,0.0001,34,100,false
6,0.2904957184249044,2.8963883,3.267701,0.7222105,0.020547602,9.451218,43.388214,-264.81082,275.70123,given,routing,discharge_routing,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,0.0001,34,100,false
7,0.3317785443967166,2.415471,3.329891,0.6989441,0.016065018,11.420249,44.49656,-457.9992,533.3841,given,routing,discharge_routing,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,0.0001,34,100,false
8,0.4906859530023052,2.4971173,3.3364832,0.8034186,0.016167892,10.724266,43.544437,-197.37521,140.78334,given,routing,discharge_routing,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,0.0001,34,100,false
9,0.255151332087304,2.6660306,3.3079162,0.6632138,0.021932999,10.257199,40.74655,-426.14142,341.39413,given,routing,discharge_routing,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,0.0001,34,100,false
